Club_ID,Club,Club_Logo
C00286,"Cheltenham Town",https://cdn.sofifa.org/teams/2/light/1936.png
C00287,"Norwich City",https://cdn.sofifa.org/teams/2/light/1792.png
C00288,"Henan Jianye FC",https://cdn.sofifa.org/teams/2/light/111779.png
C00289,"FC Barcelona",https://cdn.sofifa.org/teams/2/light/241.png
C00290,"Coventry City",https://cdn.sofifa.org/teams/2/light/1800.png
C00291,"Waterford FC",https://cdn.sofifa.org/teams/2/light/753.png
C00292,"Minnesota United FC",https://cdn.sofifa.org/teams/2/light/111138.png
C00293,"FC Lorient",https://cdn.sofifa.org/teams/2/light/217.png
C00294,"Seattle Sounders FC",https://cdn.sofifa.org/teams/2/light/111144.png
C00295,"Manchester United",https://cdn.sofifa.org/teams/2/light/11.png
C00296,"Deportivo Cali",https://cdn.sofifa.org/teams/2/light/101102.png
C00297,"Deportivo Toluca",https://cdn.sofifa.org/teams/2/light/1882.png
C00298,Sampdoria,https://cdn.sofifa.org/teams/2/light/1837.png
C00299,"?l?sk Wroc?aw",https://cdn.sofifa.org/teams/2/light/111092.png
C00300,"Club Atlético Banfield",https://cdn.sofifa.org/teams/2/light/110404.png
C00301,"Newell's Old Boys",https://cdn.sofifa.org/teams/2/light/110396.png
C00302,"Mied? Legnica",https://cdn.sofifa.org/teams/2/light/112505.png
C00303,"Tigres U.A.N.L.",https://cdn.sofifa.org/teams/2/light/1970.png
C00304,"Montpellier HSC",https://cdn.sofifa.org/teams/2/light/70.png
C00305,"Al Qadisiyah",https://cdn.sofifa.org/teams/2/light/112391.png
C00306,"Racing Club de Lens",https://cdn.sofifa.org/teams/2/light/64.png
C00307,"Dijon FCO",https://cdn.sofifa.org/teams/2/light/110569.png
C00308,"Getafe CF",https://cdn.sofifa.org/teams/2/light/1860.png
C00309,"Wis?a P?ock",https://cdn.sofifa.org/teams/2/light/1569.png
C00310,"Stabæk Fotball",https://cdn.sofifa.org/teams/2/light/917.png
C00311,"Sarpsborg 08 FF",https://cdn.sofifa.org/teams/2/light/112199.png
C00312,"Gyeongnam FC",https://cdn.sofifa.org/teams/2/light/111588.png
C00313,"VfL Bochum 1848",https://cdn.sofifa.org/teams/2/light/160.png
C00314,"Piast Gliwice",https://cdn.sofifa.org/teams/2/light/111086.png
C00315,"Al Shabab",https://cdn.sofifa.org/teams/2/light/111674.png
C00316,"Hobro IK",https://cdn.sofifa.org/teams/2/light/112425.png
C00317,"Sheffield United",https://cdn.sofifa.org/teams/2/light/1794.png
C00318,"Odense Boldklub",https://cdn.sofifa.org/teams/2/light/272.png
C00319,"Lech Pozna?",https://cdn.sofifa.org/teams/2/light/873.png
C00320,"Sint-Truidense VV",https://cdn.sofifa.org/teams/2/light/680.png
C00321,"Real Madrid",https://cdn.sofifa.org/teams/2/light/243.png
C00322,"Toronto FC",https://cdn.sofifa.org/teams/2/light/111651.png
C00323,"St. Mirren",https://cdn.sofifa.org/teams/2/light/100805.png
C00324,"Central Coast Mariners",https://cdn.sofifa.org/teams/2/light/111396.png
C00325,"Sparta Praha",https://cdn.sofifa.org/teams/2/light/267.png
C00326,Aberdeen,https://cdn.sofifa.org/teams/2/light/77.png
C00327,"HJK Helsinki",https://cdn.sofifa.org/teams/2/light/100325.png
C00328,"FC Sion",https://cdn.sofifa.org/teams/2/light/110770.png
C00329,"Cruz Azul",https://cdn.sofifa.org/teams/2/light/1878.png
C00330," SSV Jahn Regensburg",https://cdn.sofifa.org/teams/2/light/543.png
C00331,"Urawa Red Diamonds",https://cdn.sofifa.org/teams/2/light/111575.png
C00332,"Yokohama F. Marinos",https://cdn.sofifa.org/teams/2/light/101151.png
C00333,"Cerezo Osaka",https://cdn.sofifa.org/teams/2/light/101148.png
